,mols_bitswet,T_F,bitswet_smiles,id,cid
50,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651B70>,False,CC(C)CC(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_83,21594782.0
51,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651A80>,False,CC[C@H](C)C(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_84,92253768.0
52,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6514E0>,False,CC[C@H](C)C(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,b_85,92253767.0
53,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651DF0>,False,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,b_87,2719.0
54,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6518A0>,False,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)O)O)C,b_88,509245.0
55,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651620>,False,CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C,b_89,442292.0
56,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651A30>,False,C[C@@H]1[C@H]2C[C@]2(CC1=O)C(C)C,b_90,261491.0
57,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651490>,False,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7C4N2C(=O)CC7OCC=C6C5)OC,b_91,9649.0
58,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6515D0>,False,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,b_92,6167.0
59,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651530>,False,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,b_93,2955.0
60,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6518F0>,False,CC[N+](CC)(CC1=CC=CC=C1)CC(=O)NC2=C(C=CC=C2C)C.C1=CC=C(C=C1)C(=O)[O-],b_94,19518.0
61,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651710>,False,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.[O-]S(=O)(=O)[O-].[Fe+2],b_95,84567.0
62,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6519E0>,False,C1=CC2=C(C(=C1)OCC(COC3=CC4=C(C=C3)OC(=CC4=O)C(=O)O)O)C(=O)C=C(O2)C(=O)O,b_96,27686.0
63,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651DA0>,False,CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O,b_97,5353547.0
64,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651CB0>,False,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C,b_98,6197.0
65,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6517B0>,False,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,b_99,12560.0
66,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651D00>,False,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,b_100,441071.0
67,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651B20>,False,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,b_101,5702160.0
68,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651F80>,False,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,b_102,2180.0
69,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651E90>,False,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,b_103,440936.0
70,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651BC0>,False,C1=CC=C(C(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,b_104,101799.0
71,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651EE0>,False,C=CC/C(=NOS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O.[K+],b_106,23682211.0
72,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651760>,False,C1CCC(=O)NCC1,b_109,7768.0
73,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651D50>,False,CCC1=NC=CN=C1,b_111,26331.0
74,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651C60>,False,C1CNC(=S)N1,b_113,2723650.0
75,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651990>,False,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C,b_114,179651.0
76,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651670>,False,C1=CC=C(C=C1)CCN=C=S,b_118,16741.0
77,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D651F30>,False,C1=CC=C(C=C1)NC(=S)N,b_119,676454.0
78,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20B70>,False,CC(=O)NC1=CC=C(C=C1)O,b_121,1983.0
79,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20850>,False,CC1=CC(=NS(=O)(=O)O1)[O-].[K+],b_122,23683747.0
80,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20AD0>,False,C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3[C@@H]2[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)CO)O,b_123,14989.0
81,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20B20>,False,CC1C2C(CC1=O)C(=C)CC(C3C2OC(=O)C3=C)O,b_124,99967.0
82,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20990>,False,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,b_125,5143.0
83,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20CB0>,False,C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3[C@@H](COC3=O)O)(C)CO)O,b_126,5318517.0
84,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20C60>,False,C/C/1=CCC/C(=C/[C@@H]2[C@@H]([C@H](C1)OC(=O)C(=C)[C@H](CO)O)C(=C)C(=O)O2)/CO,b_127,5281435.0
85,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA209E0>,False,C[C@]12CC[C@H](C(=CC[C@@H]3[C@@H]([C@H]1O)OC(=O)C3=C)C2)OO,b_128,97161248.0
86,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20BC0>,False,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,b_129,5754.0
87,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA20940>,False,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C,b_130,4601.0
88,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA207B0>,False,C/C/1=C[C@H]([C@H]2[C@H](CC(=C)[C@@H](CC1)O)OC(=O)C2=C)O,b_131,14191260.0
89,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652E90>,False,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,b_132,4095.0
90,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652C10>,False,CC(C(C1=CC=CC=C1)O)N(C)C/C=C/C2=CC=CC=C2,b_134,5370611.0
91,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652170>,False,CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O.Cl,b_142,92876.0
92,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652F30>,False,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O,b_144,28718.0
93,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652080>,False,CN1[C@H]2CC[C@@H]1[C@@H]([C@@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,b_148,638023.0
94,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652DA0>,False,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,b_149,21718.0
95,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D652030>,False,CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)OC)O)OC,b_151,89421.0
